"salary","count"
"53949","4"
"56202","8"
"54437","6"
"55864","5"
"58528","7"
"56903","4"
"54304","1"
"52542","3"
"52374","3"
"55299","11"
"51002","7"
"55680","6"
"59060","6"
"51414","4"
"50731","7"
"51206","6"
"52364","10"
"54492","5"
"59073","3"
"52784","10"
"55348","7"
"53735","5"
"57360","5"
"59789","5"
"56247","9"
"57082","4"
"56808","10"
"52189","7"
"53826","7"
"50346","7"
"50802","6"
"57465","8"
"54566","3"
"52394","4"
"57028","5"
"59436","3"
"54233","2"
"52018","8"
"55988","6"
"52299","5"
"52877","9"
"55826","5"
"56805","5"
"58178","3"
"59260","5"
"54867","8"
"57464","6"
"54955","4"
"58793","2"
"57682","5"
"50709","6"
"54185","4"
"52799","4"
"55846","4"
"55187","5"
"50122","9"
"54242","2"
"56618","4"
"55946","7"
"51959","3"
"56405","7"
"54203","7"
"51913","5"
"57127","2"
"58383","8"
"53593","7"
"50218","9"
"55514","3"
"51416","3"
"58616","3"
"57764","6"
"59043","5"
"51237","5"
"58856","5"
"57920","3"
"51130","13"
"58011","5"
"57264","5"
"59091","6"
"55835","2"
"56057","8"
"51274","5"
"55263","10"
"52711","6"
"50429","6"
"59582","5"
"57074","6"
"58669","2"
"55261","2"
"54206","2"
"52177","5"
"55205","3"
"57931","4"
"50514","13"
"57373","5"
"54980","6"
"52762","8"
"57294","5"
"59392","2"
"57607","3"
"53562","4"
"54981","6"
"52874","3"
"55522","8"
"54684","7"
"56786","5"
"54419","4"
"57031","5"
"56714","9"
"54858","2"
"52817","4"
"58462","5"
"50203","13"
"54926","6"
"53533","4"
"57722","7"
"53827","9"
"55283","6"
"57393","10"
"54956","6"
"54212","2"
"52019","4"
"50380","6"
"57559","5"
"58001","5"
"51806","9"
"54562","8"
"50822","7"
"56334","8"
"56325","8"
"59142","6"
"55496","4"
"56284","4"
"55849","3"
"55073","4"
"53095","3"
"58002","5"
"52802","3"
"58062","6"
"58137","4"
"57966","6"
"54130","5"
"53304","3"
"54928","4"
"58914","2"
"57504","3"
"57579","12"
"58558","4"
"58432","6"
"55010","6"
"56242","3"
"57287","5"
"56110","1"
"55766","8"
"54590","8"
"55243","5"
"58438","4"
"58904","8"
"58635","5"
"50369","7"
"53429","8"
"53581","2"
"52144","6"
"53537","7"
"54608","5"
"54422","8"
"57337","4"
"55853","7"
"56028","7"
"56840","2"
"52772","8"
"56424","5"
"50717","9"
"59687","5"
"51314","6"
"58843","4"
"52873","7"
"51931","6"
"56851","3"
"54859","3"
"56084","4"
"52266","6"
"59688","4"
"58483","5"
"53726","7"
"58653","5"
"53083","5"
"50275","6"
"54700","8"
"58335","4"
"52712","4"
"50960","10"
"56648","9"
"58841","6"
"56880","6"
"50736","12"
"57382","3"
"58960","7"
"58952","2"
"59926","8"
"53873","7"
"56148","4"
"56660","3"
"55254","3"
"53768","4"
"51575","3"
"54809","4"
"51824","4"
"58874","1"
"52076","3"
"55675","6"
"59220","7"
"51910","8"
"52058","4"
"59690","5"
"54811","8"
"54240","6"
"58881","8"
"53806","3"
"56650","3"
"56365","4"
"54265","8"
"54346","6"
"51600","8"
"51741","5"
"52037","5"
"54140","4"
"58963","4"
"51444","4"
"54083","9"
"52896","4"
"58673","5"
"57945","4"
"51577","6"
"58355","4"
"55852","5"
"51033","7"
"52386","4"
"54602","6"
"58938","5"
"59619","7"
"58931","3"
"57428","3"
"59621","2"
"52965","12"
"54877","5"
"53592","4"
"51502","8"
"50448","9"
"53373","8"
"59920","3"
"52325","9"
"52473","9"
"51071","9"
"55532","5"
"56331","9"
"50553","9"
"59203","3"
"58601","5"
"59029","7"
"52568","7"
"58284","6"
"51927","8"
"57332","9"
"58025","3"
"55837","5"
"55433","6"
"57473","7"
"56993","8"
"53682","3"
"58983","5"
"54569","4"
"54112","5"
"58442","2"
"57846","5"
"50636","8"
"52660","15"
"52470","4"
"53153","6"
"59232","1"
"52898","7"
"58083","4"
"55476","4"
"59288","9"
"58609","4"
"58296","6"
"50670","1"
"55216","4"
"54885","5"
"56078","8"
"51907","8"
"55757","4"
"53698","3"
"51458","6"
"54344","3"
"59511","4"
"58493","5"
"55314","6"
"57033","6"
"59007","2"
"52848","5"
"54531","5"
"53957","6"
"53498","4"
"58112","12"
"55059","3"
"58192","5"
"56812","7"
"51066","9"
"51331","4"
"54229","4"
"59700","8"
"59918","4"
"52830","11"
"54098","6"
"59950","3"
"56001","5"
"59595","6"
"56829","3"
"59492","3"
"53643","4"
"56460","10"
"54555","8"
"52219","2"
"55462","4"
"50985","3"
"55952","5"
"51970","4"
"54851","5"
"51124","6"
"57807","4"
"55268","3"
"57536","5"
"53239","6"
"51030","6"
"57691","6"
"52350","7"
"51159","11"
"50416","7"
"50088","7"
"53041","1"
"57638","7"
"55334","2"
"51512","9"
"58765","6"
"54891","8"
"57410","3"
"58798","1"
"59860","7"
"50969","2"
"59416","5"
"57452","4"
"53200","6"
"51870","4"
"56545","11"
"59954","7"
"54725","5"
"52040","11"
"52960","4"
"58172","4"
"51779","3"
"57277","7"
"54322","10"
"51006","7"
"51260","12"
"56832","6"
"50812","2"
"50271","6"
"50037","4"
"57896","6"
"54901","9"
"51120","6"
"59694","6"
"52388","4"
"51942","8"
"52684","9"
"58419","4"
"55315","7"
"53552","9"
"52490","6"
"55363","8"
"56494","6"
"53211","5"
"56346","6"
"52644","7"
"57136","8"
"57089","3"
"50609","3"
"50663","6"
"50341","7"
"58408","8"
"53301","5"
"54648","4"
"50403","5"
"53775","6"
"52845","6"
"51657","4"
"58057","4"
"53133","3"
"54226","3"
"54831","7"
"53545","8"
"58047","6"
"56024","4"
"59935","3"
"54369","4"
"51930","4"
"53910","4"
"51611","2"
"57335","1"
"57018","3"
"58458","5"
"52217","3"
"59382","5"
"52548","7"
"58949","2"
"53935","7"
"59062","8"
"50196","6"
"51700","3"
"55737","7"
"58133","5"
"58595","5"
"53473","10"
"58450","5"
"58847","5"
"50097","5"
"59239","4"
"52702","8"
"58581","1"
"56328","5"
"50869","9"
"50508","5"
"53699","4"
"55460","3"
"57095","4"
"57688","9"
"50539","9"
"59045","3"
"51807","7"
"54458","6"
"59368","5"
"58316","8"
"56206","5"
"52976","3"
"56625","11"
"54403","9"
"57153","8"
"58672","5"
"57417","6"
"59968","2"
"55097","9"
"51549","6"
"58293","9"
"54245","12"
"57336","9"
"50735","3"
"59773","5"
"51464","5"
"56175","2"
"50939","7"
"53119","9"
"57295","5"
"53207","3"
"51599","9"
"59327","4"
"52475","7"
"51181","9"
"56557","6"
"52539","9"
"51843","13"
"53448","4"
"51027","7"
"53608","9"
"57110","4"
"50924","4"
"55700","4"
"59054","2"
"57537","4"
"55181","4"
"50174","3"
"59781","4"
"50492","12"
"53565","5"
"58903","7"
"50109","15"
"53076","6"
"53474","8"
"59848","6"
"53237","9"
"57152","5"
"55857","4"
"52063","7"
"50425","9"
"59205","5"
"59516","4"
"58986","2"
"52972","3"
"55590","7"
"58551","4"
"51534","11"
