"salary","count"
"69906","4"
"68864","3"
"69233","3"
"61878","2"
"61351","3"
"64042","5"
"67908","5"
"60289","10"
"68289","2"
"60035","2"
"61392","2"
"61257","4"
"69215","6"
"63501","3"
"62933","5"
"67987","5"
"69647","7"
"65863","6"
"61608","1"
"60317","4"
"63035","6"
"61838","5"
"60234","6"
"67105","3"
"69199","2"
"65861","3"
"69644","9"
"64031","4"
"61789","7"
"67528","2"
"60493","4"
"69716","7"
"66661","3"
"61485","3"
"64715","3"
"69405","1"
"68943","2"
"69415","4"
"69779","3"
"66629","4"
"60582","5"
"68927","5"
"66841","4"
"69825","5"
"62280","6"
"61419","2"
"60663","3"
"68243","3"
"64086","5"
"68155","5"
"62868","3"
"63743","3"
"65519","3"
"64426","3"
"65019","3"
"66800","2"
"64680","2"
"67759","8"
"69523","5"
"65563","3"
"64778","5"
"62572","2"
"63198","2"
"61252","4"
"68922","3"
"61376","3"
"64649","7"
"69037","2"
"60148","2"
"63006","4"
"69621","5"
"62746","4"
"67797","2"
"68027","3"
"65542","3"
"68587","3"
"63348","7"
"68897","3"
"65612","4"
"66283","5"
"69203","4"
"63811","3"
"66649","1"
"65996","5"
"68764","2"
"62872","6"
"60428","7"
"62536","6"
"67790","3"
"69288","1"
"63087","3"
"67795","1"
"61612","6"
"66861","4"
"65771","3"
"63045","1"
"62153","7"
"63545","7"
"68121","5"
"60423","4"
"65915","2"
"62800","1"
"64729","3"
"64096","4"
"64382","5"
"67967","2"
"61833","6"
"60411","4"
"67749","3"
"69771","3"
"67886","6"
"66755","4"
"60207","5"
"65413","5"
"65083","8"
"61983","5"
"65278","8"
"60615","2"
"67018","4"
"63741","3"
"68253","2"
"65389","5"
"63169","3"
"63625","4"
"69979","4"
"64572","7"
"63881","5"
"68132","2"
"60717","3"
"60181","4"
"64699","1"
"65528","8"
"60334","5"
"69659","1"
"62976","5"
"64628","4"
"69350","1"
"60804","3"
"63136","4"
"66070","3"
"63072","4"
"69731","5"
"62047","9"
"62347","4"
"68111","4"
"68783","6"
"62196","7"
"60881","5"
"61836","7"
"67331","4"
"69342","2"
"66335","5"
"64279","4"
"64977","9"
"68556","2"
"68198","4"
"62037","6"
"61796","7"
"61221","4"
"62558","10"
"64659","2"
"64829","3"
"63115","2"
"64301","3"
"64167","5"
"60134","5"
"64934","3"
"68105","3"
"63255","5"
"62016","6"
"67207","1"
