"salary","count"
"92154","1"
"98724","2"
"91905","1"
"99214","1"
"93826","1"
"99937","1"
"94054","1"
"93329","2"
"96211","2"
"91769","1"
"94304","1"
"96235","1"
"94145","1"
"90282","1"
"90751","1"
"96286","1"
"93617","1"
"91968","1"
"91079","1"
"99176","1"
"90906","1"
"97729","1"
"92473","1"
"93699","1"
"91922","1"
"97673","1"
"94327","1"
"97175","1"
"97660","1"
"92218","1"
"92959","1"
"90340","1"
"92765","2"
"95003","1"
"91275","2"
"99876","1"
"90797","2"
"95517","1"
"95131","2"
"92865","3"
"90169","1"
"91187","1"
"98742","2"
"97918","1"
"91473","1"
"94947","1"
"91786","1"
"93205","1"
"98027","1"
"97883","1"
"97811","1"
"93516","2"
"96325","1"
"93323","1"
"90197","1"
"95034","1"
"96421","1"
"95230","1"
"90671","2"
"93244","1"
"94856","1"
"92136","1"
"90759","1"
"95615","1"
"98770","1"
"90027","2"
"91574","3"
"91009","1"
"92887","1"
"97180","2"
"99108","2"
"99849","1"
"91133","1"
"97537","2"
"99425","1"
"94970","1"
"90116","1"
"99588","1"
"97539","1"
"92420","2"
"93904","1"
"95945","1"
"92271","1"
"90344","2"
"91067","1"
"91588","3"
"90682","1"
"95930","1"
"94698","1"
"94147","1"
"96461","1"
"94134","1"
"99888","1"
"93875","1"
"91765","1"
"90889","1"
"99837","1"
"93636","2"
"92785","1"
"92874","3"
"91790","1"
"91170","1"
"99287","1"
"92847","1"
"95612","1"
"97571","1"
"93931","1"
"93328","1"
"90133","1"
"93748","1"
"91209","1"
"90955","1"
"92978","1"
"91540","1"
"90707","2"
"92467","1"
"90555","1"
"92594","1"
"93440","1"
"96828","1"
"99417","1"
"92157","1"
"93437","1"
"95412","1"
"95156","2"
"95504","2"
"94909","1"
"96178","1"
"93536","2"
"90772","2"
"95233","1"
"98186","1"
"92650","1"
"90896","1"
"91787","2"
"92868","1"
"92402","1"
"95723","1"
"94018","1"
"92237","1"
"91679","1"
"93618","1"
"91801","1"
"97304","3"
"96672","1"
"95055","1"
"95399","1"
"91327","1"
"92637","1"
"94399","2"
"90490","1"
"90886","2"
"96383","1"
"90610","2"
"93204","1"
"94957","1"
"97388","1"
"94286","1"
"90441","1"
"97958","1"
"95153","1"
"90427","1"
"96453","1"
"97621","2"
"93023","2"
"91472","1"
"92260","1"
"90148","1"
"94421","1"
"99131","1"
"93857","1"
"94484","2"
"99531","2"
"90144","2"
"90015","1"
"94507","1"
"97640","1"
"96750","2"
"90036","2"
"90043","1"
"94073","1"
"95978","1"
"95764","1"
"94919","1"
"95056","1"
"94156","1"
